Code;Population;Abrv;Area;Distance(from Canche,km);Length (km);Rmax;alpha;M;Type
1;Couesnon;COU;110794;508;101;12.2;0.08682;0.90706;source
2;Leff;LEF;72305;649;;20.38;0.14777;1.53212;sink
3;Trieux;TRI;213733;649;72;13.47;0.095890;1.00577;source
4;Jaudy;JAU;47561;665;;24.49;0.178551;1.83879;sink
5;Leguer;LEG;197283;716;60;23.26;0.164441;1.72520;source
6;Yar;YAR;37104;726;;11.87;0.086614;0.89531;sink
7;Douron;DOU;95451;731;27;22.46;0.160152;1.67624;neutral
8;Penze;PEN;106753;755;30;35.13;0.250490;2.61598;neutral
9;Elorn;ELO;164699;881;57;27.54;0.195026;2.04296;neutral
10;Aulne;AUL;252659;903;140;4.41;0.031885;0.33096;source
11;Goyen;GOY;53603;966;36;32.34;0.229613;2.39536;sink
12;Odet;ODE;249049;1018;62;25.87;0.185059;1.93216;source
13;Aven;AVE;142686;1052;37;17.14;0.12444;1.28727;sink
14;Laïta;LAI;669028;1069;76;18.62;0.13271;1.38259;source
15;Scorff;SCO;229027;1087;78;13.4;0.09588;1;sink
16;Blavet;BLA;393985;1087;149;10.75;0.07665;0.79715;neutral
